round,loss,accuracy,precision,recall,f1
0,2.304751637615735,0.1008,0.02270368240274782,0.1008,0.021996873801341063
1,2.2617811372008503,0.1634,0.18397119667424683,0.1634,0.05622532082503756
2,2.4349017173429077,0.1312,0.09982843390605803,0.13119999999999998,0.06624230494129685
3,2.0956763783587684,0.2166,0.10357525203893818,0.2166,0.12554805833154498
4,2.060256951971899,0.2266,0.13505674185355102,0.2266,0.15453114517565233
5,2.1134653498854816,0.2237,0.1825192616915846,0.2237,0.1482078410462293
6,2.01020510739918,0.2521,0.23576735094735915,0.2521,0.197615468816713
7,2.0152707809134376,0.2334,0.16312193887774598,0.2334,0.16365837046345688
8,2.007806181907654,0.2652,0.3123367497491127,0.2652,0.19911800235975904
9,2.159398579899269,0.2023,0.18009518268297478,0.2023,0.10849054826474494
10,2.108589196506935,0.2002,0.18410510549827336,0.2002,0.11551122418908237
11,2.160047974767564,0.2353,0.25479085356101,0.23529999999999998,0.17310284135730386
12,1.9951332354847389,0.2536,0.3292531074980225,0.2536,0.19056265853631874
13,2.156590582449225,0.2389,0.210146898166759,0.23889999999999997,0.15411643666550834
14,2.1614303241802166,0.1925,0.19659244097496323,0.1925,0.12362291395971263
15,2.0070073016082186,0.2368,0.3399083811814468,0.23679999999999998,0.19274194048399676
16,1.9980299880232992,0.269,0.27062551468849405,0.269,0.22477715033954732
17,1.9760750275623948,0.2371,0.2355565596477603,0.2371,0.17891422451984507
18,2.0510866053496737,0.2195,0.13598556939498105,0.21950000000000003,0.1317433105829354
19,1.9670484911037396,0.2565,0.3143359308952629,0.2565,0.1988375076504283
20,1.9325232943402062,0.2646,0.3265813204893834,0.2646,0.20683018194032363
21,2.0192182878904705,0.2587,0.32397939255039526,0.2587,0.19784402387930122
22,2.0813072678409044,0.2682,0.20702178510353614,0.2682,0.18899702709006858
23,2.0823946708365333,0.2556,0.22516448595969457,0.2556,0.19243645591564104
24,2.2828861218464525,0.2714,0.2125291764175726,0.2714,0.20645452030120875
25,1.9997632835484758,0.2463,0.2695651122061864,0.24630000000000002,0.18026687457902918
26,2.048501206349723,0.2562,0.2725021729589129,0.2562000000000001,0.1845430129153298
27,1.9687598038323317,0.2539,0.3175933398072573,0.25389999999999996,0.18259591705684536
28,2.0430523443825637,0.2024,0.22180087442332647,0.2024,0.1269134217444726
29,2.0589239340794236,0.227,0.24827424407168533,0.227,0.17646801172921484
30,2.0582243898246864,0.2224,0.254962279462675,0.22240000000000001,0.1400856068007725
31,2.4705458804021907,0.1898,0.19236801438685283,0.18980000000000002,0.12401372908264534
32,2.127565893945815,0.2338,0.22729721094811856,0.2338,0.16444669416648533
33,1.9635890163952792,0.2486,0.18707281555165553,0.24860000000000002,0.1806458013470508
34,2.1645810543736324,0.2526,0.1790151985036947,0.2526,0.176465242837117
35,2.064009355593331,0.2438,0.20769691339046714,0.24379999999999996,0.1806873011053029
36,1.9622804756405987,0.2468,0.22489925357595278,0.2468,0.17991893081298876
37,1.9573232705080057,0.2675,0.21737953376873304,0.26749999999999996,0.20705485101227925
38,2.006260049494007,0.2279,0.25170924297924435,0.2279,0.1883069564618461
39,1.9788693823391879,0.2375,0.254582990026625,0.2375,0.17502464637245424
40,2.0215479120423523,0.2023,0.1889890552203398,0.2023,0.1408456127645552
41,2.2831512825398503,0.2513,0.17871222775797055,0.25129999999999997,0.17110146780399904
42,2.1498789545855943,0.2224,0.2514945158959946,0.22240000000000001,0.14443220031444529
43,2.0287525834916513,0.2255,0.2159242410508373,0.22549999999999998,0.1617313871479836
44,2.0681961563569082,0.2254,0.2008975387973948,0.2254,0.12463477802005207
45,2.02511040621166,0.2116,0.28449907934142815,0.2116,0.1323482755424133
46,1.989620765553245,0.2421,0.2435588203639631,0.24210000000000004,0.1906940956992961
47,2.0530132492886315,0.2247,0.23237001560331066,0.22469999999999998,0.13767439230043807
48,1.9747133903865572,0.2497,0.19142882423132154,0.24969999999999998,0.17762591636505193
49,2.176449473900131,0.2448,0.21532658725006276,0.2448,0.1668320729644157
50,2.1715059989615333,0.2601,0.24511980067567088,0.2601,0.17931117861933749
51,2.008608160139639,0.2243,0.2437403373667571,0.2243,0.16113831083510632
52,2.065164855763882,0.1868,0.1686191009979676,0.18680000000000002,0.11013502434888153
53,1.945231258114682,0.2534,0.25676222582335845,0.2534,0.17997215376673192
54,2.0187431558778015,0.235,0.22024967842224302,0.23500000000000004,0.16314362524913234
55,2.1306869681877427,0.1774,0.22087517995074024,0.17739999999999997,0.09588009392054778
56,1.9944611817975588,0.2332,0.20431845779046184,0.2332,0.1474397108562448
57,2.0001441828812223,0.2169,0.2343831522576904,0.2169,0.14708727735129762
58,2.5154458872879606,0.1733,0.1388795233512746,0.1733,0.11120079343988618
59,2.168635039389888,0.2173,0.17611714512163856,0.2173,0.15969769572526996
60,2.1465075830870037,0.2226,0.2553208476459181,0.2226,0.1484756670243645
61,1.9854246981536285,0.2452,0.19667487548562765,0.2452,0.16970406039215816
62,2.1753890454014644,0.1705,0.21785521604798128,0.1705,0.09091548150173592
63,2.0230545197861103,0.2323,0.23171989218688244,0.23230000000000003,0.16615098122448446
64,2.0091311584545086,0.2439,0.2164747888195015,0.2439,0.16436349478083206
65,2.1420155401471295,0.2195,0.18512268009197347,0.21950000000000003,0.14356333969293983
66,2.0214180267309843,0.225,0.24518556538517494,0.225,0.14730527082237765
67,2.163897876498065,0.2319,0.14102719896501373,0.2319,0.16137474347902583
68,2.0246109343782255,0.2143,0.20750818236249097,0.21430000000000002,0.14522514989080976
69,2.4373522861094417,0.1204,0.09634795666255748,0.1204,0.05279477618258686
70,2.074199776106243,0.2031,0.23656112078308816,0.2031,0.11510288361961973
71,2.0368719463106952,0.224,0.2030092648948106,0.22399999999999998,0.14598604109365182
72,2.0272434376463107,0.2004,0.20325319844775924,0.2004,0.11228741125083438
