round,loss,accuracy,precision,recall,f1
0,2.3051297755181035,0.0726,0.040045636953915276,0.0726,0.02504063830380508
1,2.372804400287097,0.1,0.010003000900270082,0.1,0.018186778212239702
2,2.21611274948603,0.1515,0.1595428126530083,0.15150000000000002,0.0989520836607182
3,2.1293865819520588,0.1892,0.21159410685230454,0.18919999999999998,0.1182762766567889
4,2.0872669159611568,0.2118,0.20762673461666664,0.2118,0.1324167550753346
5,2.0518237035485765,0.2298,0.3127152895415455,0.2298,0.1821367048054296
6,1.976181175135359,0.262,0.2678844056168794,0.262,0.20156421405961145
7,1.9940087312384496,0.2549,0.2959267714013778,0.2549,0.20205949803583736
8,2.0588733199276503,0.2252,0.26716563645890373,0.22519999999999998,0.16999024264296864
9,2.0030871976779987,0.2364,0.2860287273899703,0.2364,0.17359679982770865
10,1.9923681594148468,0.2352,0.33469957966785274,0.23520000000000002,0.1806367014350576
11,1.991396591633181,0.2505,0.25420193890846954,0.25049999999999994,0.21275032966165403
12,1.9755679519870613,0.2816,0.2929210583209998,0.28159999999999996,0.25624440278030824
13,1.9570887994162645,0.2816,0.2832470088238711,0.28159999999999996,0.2195845320930478
14,1.9028751352165318,0.2748,0.3249361155499509,0.2748,0.23808572014875956
15,1.9619218412833879,0.2726,0.29318736557511677,0.2726,0.23796982026585126
16,1.9974938736686223,0.2599,0.2907496658604133,0.25989999999999996,0.22772559140268958
17,1.9372183793707738,0.2694,0.3048756976898881,0.2694,0.23184706807266342
18,1.9204722220384622,0.2897,0.28626926336838127,0.28969999999999996,0.25773210965093185
19,1.9188924876949456,0.2864,0.2740655431101565,0.28640000000000004,0.24307350723573892
20,1.8660320360449296,0.3022,0.2924996363032054,0.3022,0.24878341231471732
21,1.8887371684931502,0.2992,0.3218078991482683,0.2992,0.27319016469109814
22,1.9011809026138693,0.3015,0.3213542531385806,0.3015,0.27197226186241696
23,1.915930671027944,0.3015,0.3004081862286894,0.3015,0.26481073189188703
24,1.8704240563549572,0.3134,0.3206283761337952,0.3134,0.2847262678496913
25,1.8905044416838055,0.3039,0.3252526071977873,0.3039,0.28444152906632236
26,1.9325080430960353,0.2749,0.3225943385545077,0.27490000000000003,0.22728357942916227
27,1.9166360173044326,0.3043,0.33949806523948284,0.30429999999999996,0.28523052116814684
28,1.8861308067659788,0.2981,0.3337699884478629,0.2981000000000001,0.26755983757790636
29,1.8783288892311385,0.2783,0.35442971260843,0.2783,0.2292025879380292
30,1.8744644122787668,0.3194,0.31719283990688674,0.3194,0.27493575227732936
31,1.8602664063248453,0.2842,0.3231941420851376,0.2842,0.24938223083322014
32,1.885156918175613,0.3163,0.34220783723799236,0.31629999999999997,0.284189337088142
33,1.8804754546925992,0.3078,0.3716018809097537,0.3078,0.2794651609595524
34,1.8767273335517207,0.3,0.31447389954530747,0.29999999999999993,0.2641804362183532
35,1.9406422361542908,0.2808,0.2752474495972631,0.2808,0.24011830946796925
36,1.8736024551753756,0.3244,0.3385986820354291,0.32439999999999997,0.3073538600368886
