round,weight_norm,weight_change,weight_relative_change
0,8.901552617895309,0.0,0.0
1,10.359758790582687,5.6433629098623115,0.6339751223234622
2,12.45551233621847,6.383015214455698,0.6161355050270501
3,13.170176026467928,4.297762213714323,0.3450490110457095
4,14.12253305306131,4.386870615259432,0.3330912666930106
5,14.906806150016783,4.885952666101213,0.34596857714611606
6,15.795623407663395,4.947338736277005,0.3318845557160644
7,17.37337021004112,6.4767534065393075,0.4100346810848913
8,18.19344576712493,4.9318135847651545,0.2838720136111746
9,18.960242750472982,5.812148447431641,0.3194638619750686
10,20.24920931009907,6.777637634865959,0.35746576265017166
11,20.85286618331127,5.612768250194359,0.2771845638124416
12,21.467596055737225,5.878866515590707,0.28192126990520966
13,22.114822215075563,5.808780436309659,0.2705836471489877
14,22.692670713930752,6.320139385887001,0.28578748336262977
15,23.60305647626778,6.167472124440945,0.2717825593189272
16,24.4266908313957,6.33780566289224,0.2685163114039013
17,24.95181880059504,5.713478468274727,0.2339030901765779
18,25.72529570400391,6.751343844000821,0.27057521930276124
19,26.530488473497545,6.581565547863198,0.25584022914897936
20,27.180886735616195,6.366291913631302,0.23996135314157035
21,27.744662847771906,6.802224918768162,0.2502576529201275
22,28.404466141069015,6.590675413796856,0.237547504178894
23,29.070428469343923,6.114923907301154,0.2152803674221595
24,29.64406360790244,6.622933973074845,0.22782374811008532
25,30.502466949198705,8.418062040904783,0.2839712581993084
26,31.023562833940765,6.634898255540725,0.21752005392118853
27,31.65769179876447,7.198754230997668,0.23204150566158693
28,32.22901645487751,7.46978766090323,0.23595490499945937
29,32.94109091375341,7.405155363465806,0.22976671887615543
30,33.368110096223226,6.601238320754283,0.20039525521536763
31,33.849059793370856,6.340419105481563,0.19001433066418114
32,34.3133806264766,6.89317056104155,0.20364437308155817
33,35.10218602100688,7.541208059318171,0.21977455795997292
34,35.71805755774629,7.287811884412233,0.20761703786852717
35,36.21546239865722,6.622127631989009,0.18539999330210793
36,36.971000428880465,7.955220686073554,0.2196636508042086
37,37.50003409491067,7.04088100225911,0.19044334533993224
38,38.13159711338451,7.793058309768975,0.20781469931532226
39,38.61260436354842,7.153537115678787,0.18760129806231154
40,39.34527665729081,8.671513190077462,0.22457726778567674
41,39.69360756393252,7.457190088095545,0.18953202827955587
42,39.97842747771311,6.3309369788337975,0.1594951269828756
43,40.67609832153109,7.348520481829672,0.18381214433478885
44,41.06411382390915,7.1647555785692445,0.17614166240617793
45,41.634047632878136,7.148095250228909,0.17407158184062888
46,42.057243585892806,6.5107309850813735,0.15637996676365076
47,42.43758375999305,6.740716238017127,0.16027479842407283
48,42.70746818348613,6.16526034631704,0.1452783075768478
49,42.99646090400545,5.556104225463535,0.13009678311014763
50,43.261457880858494,5.400515767289772,0.12560372769597208
51,43.61478987459124,7.207981732235913,0.16661439732498015
52,44.08417643778182,8.330878422832201,0.1910103991505514
53,44.554231217670704,6.6987460735278646,0.15195352652140254
54,44.88683379419694,6.805285692924419,0.1527416253612764
55,45.25978226722291,6.886716203150363,0.15342396914672446
56,45.633264448260846,7.039033180661997,0.15552512248261754
57,45.8940467133573,6.230034839427222,0.13652397904772307
58,46.46000444138456,8.254949889958086,0.17986973215716723
59,46.73889735851394,7.068586423053207,0.15214347282200433
60,47.19574196191307,5.901011570940376,0.12625483065344126
61,47.5882017770604,6.722351469995604,0.14243555012666806
62,47.98137553691698,6.844885175130065,0.14383576011513038
63,48.2744121456773,5.933858591430215,0.12367003915617891
64,48.56673339093891,5.933533479848587,0.12291259936901396
65,48.92122105451058,7.275769355942068,0.14980973287539506
66,50.24623579175776,11.785786276265256,0.24091357538089297
67,50.43266802902763,5.748148681708359,0.11439958817053968
68,50.67586970228964,6.310322006586233,0.12512369964130543
69,51.96689405437394,11.828869077221151,0.23342212273198257
70,52.222967213499494,5.717462472072879,0.11002124672064464
71,52.665460020106586,7.294803681364258,0.13968573734095682
72,52.990519710924055,7.235613033664923,0.1373882053036046
73,53.27307432633295,6.1890586911781025,0.11679558390688026
74,53.46447926990742,5.517989763444295,0.10357933784021148
75,53.62798999773653,5.761535765805924,0.10776380588519148
76,54.38990403129179,8.29043473122655,0.15459156182361122
77,54.61461061584908,6.459712845021516,0.11876676306126988
78,54.80515739002427,5.912600137647491,0.10826041000685697
79,55.168837176860734,7.306409469198085,0.13331609317692936
80,55.413158727559306,6.510240207050774,0.11800575361355523
81,55.72718424434329,6.717283937945055,0.1212218197298351
82,55.89196251826372,5.937912162319962,0.10655324224302697
83,56.33980684365436,7.204218694859678,0.12889543272868043
84,56.60684152082662,6.782584918708017,0.1203870815091357
85,56.773794172793956,6.334857591625526,0.11190975192077503
86,57.238380807856664,6.819698337890745,0.12012053161574214
87,57.444553893269756,6.03302384323706,0.1054017209794728
88,57.56266941240824,5.007898060080188,0.08717794326292433
89,57.7566272822311,5.8034197406499315,0.10081915588488781
90,57.940353149883094,5.717571268669235,0.09899420270370173
91,58.06490623781897,5.413996225067269,0.09344085651415897
92,58.186435870209785,5.440823789894521,0.093702446837698
93,58.356902308326276,5.982480186837019,0.10281571808541791
94,58.60410885017962,5.535102364162406,0.0948491462913579
95,58.751256227742815,5.341474155873102,0.0911450452991167
96,58.954154211252664,6.257979757387503,0.10651652678061005
97,59.1873615195959,6.669715287873318,0.11313393224101155
98,59.305522201373556,5.639137872597773,0.09527604758528095
99,59.61991365100661,7.628064913607905,0.1286231809525888
100,59.75362186253651,5.94593561347474,0.09973069817360221
101,59.91383741400192,4.8437064554723674,0.08106130313920101
