round,loss,accuracy,precision,recall,f1
0,2.3038881519172767,0.0959,0.020341556839434727,0.0959,0.03137151828736203
1,2.414077125018156,0.1567,0.0311592731881699,0.1567,0.05195536924874933
2,2.8816153731527208,0.1,0.01,0.1,0.01818181818181818
3,2.794133376471604,0.1,0.01,0.1,0.01818181818181818
4,2.552005106889749,0.1,0.01,0.1,0.01818181818181818
5,3.0785279877578158,0.1,0.01,0.1,0.01818181818181818
6,2.8053000275092788,0.1,0.01,0.1,0.01818181818181818
7,2.8465793917450726,0.1,0.01,0.1,0.01818181818181818
8,2.57386985609803,0.1,0.01,0.1,0.01818181818181818
9,3.778093301797215,0.1,0.01,0.1,0.01818181818181818
10,2.826541547533832,0.1,0.01,0.1,0.01818181818181818
11,2.884465519386002,0.1,0.01,0.1,0.01818181818181818
12,2.5619698415828656,0.1,0.01,0.1,0.01818181818181818
13,2.580726409260231,0.1,0.01,0.1,0.01818181818181818
14,3.0404316413251657,0.1,0.01,0.1,0.01818181818181818
15,2.771982890141161,0.1,0.01,0.1,0.01818181818181818
16,3.156828466849991,0.1,0.01,0.1,0.01818181818181818
17,3.8834997641889353,0.1,0.01,0.1,0.01818181818181818
18,2.8425555802598783,0.1,0.01,0.1,0.01818181818181818
19,2.8317415714263916,0.1,0.01,0.1,0.01818181818181818
20,2.9132940376861187,0.1,0.01,0.1,0.01818181818181818
21,3.7379490242728703,0.1,0.01,0.1,0.01818181818181818
22,2.877809624128704,0.1,0.01,0.1,0.01818181818181818
23,3.1553609159928335,0.1,0.01,0.1,0.01818181818181818
24,2.90858271453954,0.1,0.01,0.1,0.01818181818181818
25,2.980945191805876,0.1,0.01,0.1,0.01818181818181818
26,2.810321560388879,0.1,0.01,0.1,0.01818181818181818
27,2.939107553868354,0.1,0.01,0.1,0.01818181818181818
28,2.5324997449223,0.1,0.01,0.1,0.01818181818181818
29,2.5580617295035832,0.1,0.01,0.1,0.01818181818181818
30,2.841176108468937,0.1,0.01,0.1,0.01818181818181818
31,2.591980037809927,0.1,0.01,0.1,0.01818181818181818
32,2.5968154019947294,0.1,0.01,0.1,0.01818181818181818
33,2.616489277610296,0.1,0.01,0.1,0.01818181818181818
34,2.6199506294878225,0.1,0.01,0.1,0.01818181818181818
35,3.0426490638829486,0.1,0.01,0.1,0.01818181818181818
36,2.9559420603740065,0.1,0.01,0.1,0.01818181818181818
37,2.918525167658359,0.1,0.01,0.1,0.01818181818181818
38,2.9080390990534917,0.1,0.01,0.1,0.01818181818181818
39,2.8524082280412504,0.1,0.01,0.1,0.01818181818181818
40,2.8749562577356267,0.1,0.01,0.1,0.01818181818181818
41,2.5505081701882277,0.1,0.01,0.1,0.01818181818181818
42,2.5464248415790025,0.1,0.01,0.1,0.01818181818181818
43,3.1003205836573735,0.1,0.01,0.1,0.01818181818181818
44,3.820664423930494,0.1,0.01,0.1,0.01818181818181818
45,2.8488693659818627,0.1,0.01,0.1,0.01818181818181818
46,3.1643040995054608,0.1,0.01,0.1,0.01818181818181818
47,2.5326917443094374,0.1,0.01,0.1,0.01818181818181818
48,3.215440771247767,0.1,0.01,0.1,0.01818181818181818
49,3.3447192862064026,0.1,0.01,0.1,0.01818181818181818
