round,weight_norm,weight_change,weight_relative_change
0,8.8746302700013,0.0,0.0
1,9.605769249180373,3.9586868323534827,0.446067803600825
2,12.447967926724912,5.399050834801914,0.5620633490864243
3,17.033545005325703,6.379124780912657,0.512463144057905
4,22.25067014490546,6.731220510698084,0.39517437553685897
5,27.58151151579858,6.989313654094827,0.314116995512771
6,32.93077242225131,7.1566960220503315,0.25947439530009286
7,38.270317798511265,7.011669400979917,0.21292149819786318
8,43.55907522777295,6.940208796734877,0.18134703853927026
9,48.71298215653241,6.852395607286299,0.15731269710017926
10,53.63638156087158,6.585444525195849,0.13518869577766596
11,58.31947965286823,6.337467335266763,0.11815613117120134
12,62.78714302546932,6.197777995486879,0.1062728616984743
13,67.01171969591196,6.094796450956266,0.09707077209221372
14,71.01565573169344,6.218864554420273,0.09280264083105412
15,74.84585630229589,6.200624264323769,0.08731348320913655
16,78.49029238787303,6.273692437622107,0.08382150659449773
17,82.00041675640414,5.969814036134949,0.07605799207150993
18,85.39056946561358,6.40489928440715,0.0781081308821412
19,88.6483784374895,5.631035999426404,0.06594447179190441
20,91.75781471534012,5.994162633119349,0.06761728458845277
21,94.81128033449053,5.845921816631188,0.06371034265321811
22,97.77470666792334,5.64674748487112,0.05955776005706976
23,100.56456949942279,5.426612036465476,0.05550118452301344
24,103.21008902240123,5.32950071874289,0.052995809013712133
25,105.73355017684636,5.225318697420389,0.050627983629402705
26,108.14549330870757,5.354681835777146,0.050643166968441164
27,110.91783169710541,15.078446951846734,0.13942741847587206
28,114.86656552168189,13.162878991704336,0.11867234321382768
29,119.46938631304461,11.882401221141318,0.10344525552031139
30,124.39225042421968,10.760926104764188,0.09007266578367129
31,129.3611892843748,9.683633511274017,0.07784756267566319
32,134.2363556450114,8.888989694778566,0.06871450196110228
33,138.91504985331179,8.146220427724854,0.060685649491718174
34,143.34544859352928,7.510492199821144,0.054065360144537895
35,147.51307356501204,7.194046147469503,0.05018677759252713
36,151.42249477660064,6.561138414927068,0.04447835202912366
37,155.0930172596466,6.302883543364122,0.04162448619446433
38,158.53982564943874,5.848856055221394,0.037711923841328404
39,161.77735949429825,5.794364475985212,0.036548321232508375
40,164.80943872523505,5.339766585492792,0.03300688428950213
41,167.63341078404025,4.897607717558106,0.029716791437657084
42,170.2549365781276,4.533882966228775,0.027046416015880082
43,172.6709170390109,4.25043932445207,0.02496514585642635
44,174.894698214463,3.802420119474414,0.022021196068664796
45,176.93054248077135,3.6429275199076385,0.020829262162300938
46,178.79198264609565,3.5884670563613743,0.020281784060823402
47,180.49512783972625,3.481812290919476,0.019474096317895286
48,182.05168454119857,3.215611771031412,0.017815504548604706
49,183.49004242590735,3.4904514373293347,0.019172859872864968
50,184.82212170446758,2.9737650908984725,0.016206683761041955
51,186.02735361480933,2.4234742908900193,0.013112468726897681
52,187.12324586627835,2.683239486125321,0.01442389752896141
53,188.1345515230972,2.329302259302371,0.01244795775382011
54,189.05572481840642,1.8277290352500937,0.009715009924823579
55,189.8965104170448,2.098833940721283,0.011101668265989642
56,190.6665313559864,1.8253310948163084,0.009612241377193357
57,191.35715154560788,1.3672678956948812,0.007170990555974342
58,191.9776301301613,1.6456236297383238,0.008599749820927113
59,192.54521117122405,1.4874338775353755,0.00774795415760741
60,193.059659160375,1.0789694805638093,0.005603720154866678
61,193.52746504943198,1.3425225591789471,0.00695392587460758
62,193.95281410481303,1.1607387037498018,0.005997798314842387
63,194.3329893051193,0.8374618844985989,0.004317864055561466
64,194.67350067830407,1.0932818473100956,0.0056258170638902065
65,194.98349768752908,0.9618241085898337,0.004940703820694857
66,195.26356505955508,0.6934896372710564,0.0035566581043799564
67,195.51729274706966,0.9182292795520133,0.0047025121111124064
68,195.74790238200436,0.8162025963292708,0.004174580083740886
69,195.95334652370613,0.6136667778189626,0.0031349852047000285
70,196.13732281781031,0.8329531240829782,0.004250772639811914
71,196.3043226580293,0.7162803224637435,0.003651932799800285
72,196.45525641082173,0.5305070254127654,0.0027024724582181596
73,196.59176265502103,0.7651050147200887,0.003894550996995128
74,196.71551855897758,0.5725667135730069,0.002912465435174184
75,196.82494126208493,0.4111202064088165,0.0020899225918739554
76,196.92319078650667,0.6564358744738573,0.003335125468674408
77,197.01346116326016,0.5614083305199652,0.0028509000299935636
78,197.09339409671995,0.45760409208948893,0.002322704699401487
79,197.16534529979714,0.6285137808994858,0.0031889134781997587
80,197.23065434122998,0.47662856041780194,0.0024174053492657596
81,197.28848122305425,0.37165329546174475,0.0018843586799573086
82,197.3411216880923,0.5601585996548868,0.0028392868969440133
83,197.3896449102466,0.4093872264948489,0.0020745155545517716
84,197.432500510002,0.32883486110823856,0.0016659174864902045
85,197.47137525377235,0.5885670057670952,0.002981104956106151
86,197.50640955405368,0.36140866408147604,0.001830182544770569
87,197.5370030346648,0.39217038582060626,0.001985608399777417
88,197.56571167986218,0.5428207771103515,0.002747944783868265
89,197.59187390187017,0.35955467269697833,0.0018199244678622321
90,197.61498018189516,0.3900169025799109,0.0019738509225000174
91,197.6360385478647,0.4568030974032004,0.0023115813233516194
92,197.6546802414103,0.30346550137626394,0.001535476543680141
93,197.67080621222806,0.39869918835962387,0.0020171502535252963
94,197.68642097223287,0.4287516192170895,0.0021690184171988757
95,197.70075452416344,0.39751822886186766,0.0020108524748773827
96,197.71316236295704,0.34727633429106597,0.0017565756647046353
97,197.72355160646353,0.39079286729984525,0.0019765647498078028
98,197.73306533032337,0.4336177262669134,0.0021930504623431987
99,197.7419323313129,0.3212044933455139,0.0016244349057592498
100,197.75035965615865,0.38437803831878586,0.0019438367663696806
