round,loss,accuracy,precision,recall,f1
0,2.3081740125825134,0.095,0.014165031332862524,0.095,0.021480932095898096
1,2.367524391488184,0.1,0.01,0.1,0.01818181818181818
2,2.3984403972384296,0.1603,0.03490051518264199,0.16030000000000003,0.05660685349898962
3,2.2465523073944866,0.181,0.11775249170773354,0.181,0.09556203575090405
4,2.1441225039808054,0.2017,0.14754935428770025,0.2017,0.13040696076821176
5,2.039268480071539,0.2205,0.20396244593733978,0.2205,0.1295923099752701
6,2.1040670766106135,0.2164,0.12475486658126597,0.21639999999999998,0.12646916592514176
7,2.1277637149714215,0.1846,0.14832704012694736,0.1846,0.11621316890092862
8,2.1328154787232605,0.1912,0.14426538214026835,0.1912,0.11304606569284759
9,2.1480321537090252,0.2014,0.18628894665495796,0.20140000000000002,0.1382269134823834
10,2.0819323032717163,0.2049,0.1312736400458991,0.2049,0.1390883666465728
11,2.0797988870475868,0.208,0.1415949955466809,0.20800000000000002,0.14496615120283876
12,2.195108587228799,0.196,0.19763867560086706,0.196,0.11965623968154718
13,2.0994869153710862,0.1881,0.12667131697293893,0.1881,0.11813292643892262
14,2.0904323224779926,0.1775,0.13389573044846306,0.1775,0.10672883084180165
15,2.1612254366090027,0.1658,0.2181680011325809,0.1658,0.08346143910472643
16,2.1460880207110056,0.1896,0.09850540508928214,0.1896,0.09040142791712562
17,2.113730744470524,0.1921,0.1680053592761264,0.1921,0.103635140872258
18,2.163501288317427,0.1593,0.13721262660508804,0.1593,0.09178297906549023
19,2.125818165042732,0.1694,0.20147102850760507,0.16939999999999997,0.085281233679748
20,2.1273255740539936,0.1956,0.16620655518324653,0.19560000000000002,0.11215630643266702
21,2.055504044399986,0.2139,0.14521128770681221,0.21390000000000003,0.12528151604014343
22,2.207850933074951,0.2173,0.15885346191530628,0.2173,0.12116171631118063
23,2.1931287004977844,0.172,0.1066313463535078,0.172,0.10419238855250179
24,2.136605027355725,0.1587,0.14679287804880892,0.1587,0.08739615955247501
