round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.30484615096563,0.0956,0.028794348165286948,0.09559999999999999,0.03262209394750326,0.0,0.0
1,2.213846952100343,0.1679,0.09706528660990266,0.1679,0.10275770012670246,0.16772284691301168,0.16886622675464907
2,2.2591918903061106,0.2426,0.1563012338241655,0.24259999999999998,0.17575736430536584,0.24058381342679716,0.2388522295540892
3,2.293936991993385,0.2843,0.3155092812178551,0.2843,0.22475027442664958,0.28067206892517776,0.27924415116976603
