round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3052328085597558,0.1029,0.05252741876820164,0.10289999999999999,0.026139922637591333,0.0,0.0
1,2.2212616250484802,0.1847,0.21755292565977605,0.1847,0.12202976076588987,0.18010329332808792,0.17994601619514144
2,2.056706475306161,0.26,0.21931627000144954,0.26,0.19297871312595985,0.25535842194679964,0.25432370288913325
3,1.9884832961649834,0.3059,0.40859764341923227,0.30589999999999995,0.24547356135511,0.2946300474403682,0.2936119164250725
