round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3039720903469036,0.0981,0.03557338289038143,0.09809999999999999,0.020465302467347145,0.0,0.0
1,2.3114157175715966,0.135,0.0853598796243133,0.135,0.07465919161018018,0.20941666666666667,0.20941666666666667
2,2.5835691856432565,0.1608,0.03845533325346432,0.1608,0.0596639400265237,0.2658333333333333,0.2658333333333333
3,2.2310275095927565,0.1817,0.2561524926958981,0.1817,0.14834661831812807,0.19783333333333333,0.19783333333333333
