round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.580236755311489,0.0025,0.030303030303030304,0.002012072434607646,0.0037735849056603774,2000
0,1,evaluate,2.102909207344055,0.4593333333333333,0.28907570507793584,0.3378484002825415,0.27064318783068786,1500
0,2,evaluate,2.235795040925344,0.0,0.0,0.0,0.0,1500
0,3,evaluate,2.306898375352224,0.0,0.0,0.0,0.0,1500
0,4,evaluate,2.188397099574407,0.004,0.17142857142857143,0.002307692307692308,0.004554079696394687,1500
0,5,evaluate,2.30501851439476,0.3395,0.2631296168241738,0.3344061374463757,0.23752682295873417,2000
1,0,evaluate,2.337911973396937,0.005333333333333333,0.05714285714285714,0.001652892561983471,0.0032128514056224897,1500
1,1,evaluate,2.064282163977623,0.38533333333333336,0.2333584044981864,0.14721659413157814,0.12881997787242794,1500
1,2,evaluate,2.166644364595413,0.27066666666666667,0.2688816929672535,0.08889120836180199,0.09467405788141257,1500
1,3,evaluate,2.118132710456848,0.282,0.23727373990531886,0.12114974721177096,0.1343487845039778,2000
1,4,evaluate,2.2540679971377053,0.06533333333333333,0.2077618288144604,0.019542758984933472,0.029791181863056203,1500
1,5,evaluate,2.08334756270051,0.3475,0.256797524707405,0.13141617748542161,0.12831944283060437,2000
2,0,evaluate,2.04212316373984,0.3893333333333333,0.17047558876712926,0.1448297604035309,0.1565039809027059,1500
2,1,evaluate,2.252067744731903,0.3195,0.11395068267419964,0.13874635813750757,0.1238855124098081,2000
2,2,evaluate,2.142764925956726,0.09133333333333334,0.21008223770944529,0.03952290720150809,0.05302126240021505,1500
2,3,evaluate,1.8414296805858612,0.496,0.28052790838514874,0.18412451859703607,0.20615082641134305,1500
2,4,evaluate,2.087994448840618,0.2845,0.3085363895007342,0.13757622701074246,0.1613991850683491,2000
2,5,evaluate,2.284247358640035,0.017333333333333333,0.18055555555555555,0.006509957171730134,0.012566592197972161,1500
3,0,evaluate,2.085142433643341,0.29933333333333334,0.2340567336609979,0.08825620211245613,0.11253402824939591,1500
3,1,evaluate,2.032867049177488,0.16733333333333333,0.19401386274993646,0.04999077988516247,0.0751980430345381,1500
3,2,evaluate,1.9046569267908733,0.448,0.22453907993360486,0.15105621569036204,0.1503292620434362,1500
3,3,evaluate,2.177885423103968,0.07666666666666666,0.1325304511923143,0.023040870933132934,0.037661214469048424,1500
3,4,evaluate,1.9670933187007904,0.423,0.22664690002573867,0.13756717722544556,0.1497540990623827,2000
3,5,evaluate,2.0257483795285225,0.2985,0.205459089519029,0.10554197357836818,0.12448286257857874,2000
4,0,evaluate,1.8741470475991566,0.37266666666666665,0.2646808099976314,0.13700737653656486,0.15107299613821384,1500
4,1,evaluate,2.0829052378733954,0.18333333333333332,0.20644928532160528,0.0682299480661962,0.08676762529873067,1500
4,2,evaluate,1.722342535853386,0.42933333333333334,0.25589836945153227,0.14236718312202878,0.17524512714191942,1500
4,3,evaluate,2.0485679991543293,0.2485,0.2435851518685102,0.09666909320969137,0.10090099738894501,2000
4,4,evaluate,2.24907772988081,0.2575,0.21482440585602144,0.10007367806272519,0.10627573768032277,2000
4,5,evaluate,2.231767416000366,0.12333333333333334,0.2484196379967338,0.04690020643644219,0.07395418524455176,1500
5,0,evaluate,2.0813816090424857,0.2853333333333333,0.233967669609987,0.08404567942977012,0.10527714329613107,1500
5,1,evaluate,1.9180856843789418,0.37066666666666664,0.22971203075966196,0.12513948836419847,0.1291324388048295,1500
5,2,evaluate,1.9078828431665897,0.3145,0.21160989887593318,0.10492648055093959,0.1216968298568278,2000
5,3,evaluate,1.9557686100403469,0.206,0.17983397589524505,0.06117442139236973,0.0791253211398402,1500
5,4,evaluate,2.1472160716851554,0.16,0.15077850438186752,0.04856650343368707,0.06241994182347728,1500
5,5,evaluate,1.9858045242726803,0.3815,0.24765682096717975,0.12256604850735371,0.14187383078121646,2000
6,0,evaluate,1.8980988189578056,0.312,0.2473424534649024,0.12037594020367152,0.12589486112737486,2000
6,1,evaluate,1.685638537009557,0.49133333333333334,0.2340511053689348,0.1615027778062564,0.1720946063920547,1500
6,2,evaluate,2.176960955063502,0.168,0.22300037728730426,0.056589599203170624,0.08330489350250102,1500
6,3,evaluate,1.6474843720595043,0.4266666666666667,0.24330154058319103,0.12625983108211616,0.14979382855299306,1500
6,4,evaluate,2.1515411933263144,0.12866666666666668,0.22986893027932698,0.04183683188797857,0.06336689817073676,1500
6,5,evaluate,2.050432611256838,0.307,0.21648942741073035,0.11928148996064729,0.11825556841241018,2000
7,0,evaluate,1.923673689365387,0.30933333333333335,0.16843076807018317,0.09320363727639755,0.11032420701409454,1500
7,1,evaluate,1.8839046706755955,0.37466666666666665,0.2369068281297523,0.11099334652058856,0.14382568729971326,1500
7,2,evaluate,1.8738930871089299,0.372,0.22877163292257632,0.11281715518920636,0.13872702500004674,1500
7,3,evaluate,1.929271750152111,0.3775,0.2631158694057115,0.11404926368171978,0.15015063394861344,2000
7,4,evaluate,1.9231261797249317,0.351,0.21971375819538297,0.11946823886399209,0.14103441266692474,2000
7,5,evaluate,1.8306942284107208,0.352,0.18458307414319144,0.10510958609552574,0.12624745589975434,1500
8,0,evaluate,2.075918505589167,0.248,0.18568398181203608,0.07497411019928639,0.09853071162023311,1500
8,1,evaluate,2.1203768253326416,0.15866666666666668,0.1912569579589728,0.04644435291193252,0.06683687808736186,1500
8,2,evaluate,1.7878567576408386,0.347,0.2654083003331996,0.12650949297602124,0.15524846369000225,2000
8,3,evaluate,1.5660904447237651,0.49666666666666665,0.24627331420373028,0.14677939513232396,0.16074300683919693,1500
8,4,evaluate,1.7701743580400944,0.399,0.20228535766293204,0.1485501090857359,0.13751103210455815,2000
8,5,evaluate,1.6811252882083256,0.518,0.21779029580020787,0.1547062457068455,0.17901655840937308,1500
9,0,evaluate,1.9312115460634232,0.339,0.22492949907384316,0.11898018778746478,0.13745702394795295,2000
9,1,evaluate,1.7775713503360748,0.4146666666666667,0.24150900717497717,0.12320039763887622,0.15926626147556786,1500
9,2,evaluate,1.589407816529274,0.5313333333333333,0.22224582549659946,0.15959690482781247,0.18380044111876376,1500
9,3,evaluate,1.888663227359454,0.276,0.18406322667916103,0.08245425265306473,0.11264972759922191,1500
9,4,evaluate,1.8163423389196396,0.32066666666666666,0.1885434220874059,0.09621650718645477,0.12545162391321504,1500
9,5,evaluate,1.712175227701664,0.4715,0.2580202721623846,0.15175888585910471,0.1868612783081259,2000
10,0,evaluate,1.549817442893982,0.512,0.2511616751011743,0.15187834543238135,0.17539406771751392,1500
10,1,evaluate,2.007859135667483,0.21266666666666667,0.1821004514158041,0.0633459818701528,0.09303987297106563,1500
10,2,evaluate,1.956831271449725,0.286,0.19637172967827846,0.08600175014892739,0.11558434701702706,1500
10,3,evaluate,1.7562063597142696,0.3465,0.26980249242312004,0.12577369322782037,0.15820941968973593,2000
10,4,evaluate,1.6213201483090718,0.5386666666666666,0.22873171897542424,0.1612373768441341,0.18850321004846093,1500
10,5,evaluate,1.6757556982338428,0.453,0.20612014307437074,0.15804024289704488,0.15944859437565198,2000
11,0,evaluate,1.8285779903332393,0.36933333333333335,0.24375992063492066,0.10965092051887937,0.14792488794932795,1500
11,1,evaluate,1.769942358136177,0.334,0.189602471220152,0.10035294654027097,0.12804111202099236,1500
11,2,evaluate,1.891481543580691,0.254,0.1873555781703161,0.0756662323359238,0.10523414217183621,1500
11,3,evaluate,1.5868987031280994,0.544,0.2556323029380637,0.17311324554464672,0.20266823581733756,2000
11,4,evaluate,1.462130015095075,0.588,0.22376511579007138,0.17625783020125282,0.1963056893203381,1500
11,5,evaluate,1.9590820856392384,0.324,0.23774011030810197,0.11228741669544189,0.14037508745224478,2000
12,0,evaluate,1.896494780977567,0.292,0.19576661532087228,0.09733620875896627,0.12932377111982551,1500
12,1,evaluate,1.839536319176356,0.35333333333333333,0.21656054336048092,0.1176776985810726,0.14883478825337493,1500
12,2,evaluate,1.69552348057429,0.45866666666666667,0.23818612391193036,0.1379908036785286,0.17345725633423892,1500
12,3,evaluate,1.9157627448439598,0.2525,0.27979120805816826,0.09457177691283522,0.13031457203010163,2000
12,4,evaluate,1.4400575508673985,0.5526666666666666,0.2458208549692066,0.16409328202895573,0.18599737220699022,1500
12,5,evaluate,1.5219794549047947,0.513,0.20768709287671397,0.17404414525498946,0.17387355040699476,2000
13,0,evaluate,1.838774045308431,0.354,0.24641573379954562,0.10533581815188572,0.14575564554143075,1500
13,1,evaluate,2.0146858654916286,0.277,0.24165449923851953,0.09750406938169481,0.12982748812941852,2000
13,2,evaluate,1.4400842189788818,0.613,0.2563219643311177,0.19274120470181294,0.21674480634621007,2000
13,3,evaluate,1.7887235979239147,0.30533333333333335,0.1937086449700155,0.09208574846073148,0.11519645879666988,1500
13,4,evaluate,1.9294154345989227,0.20866666666666667,0.19333517040522724,0.0617335930856802,0.08954522740124696,1500
13,5,evaluate,1.3570910791556041,0.6373333333333333,0.2227214607378168,0.19092424568634084,0.2041307658256911,1500
14,0,evaluate,1.7967978765567143,0.336,0.1840876139267938,0.10082416758295328,0.1297286361859155,1500
14,1,evaluate,1.359681874513626,0.5886666666666667,0.2391413285562119,0.17533887816911223,0.19929826312389198,1500
14,2,evaluate,1.7656725992759068,0.37466666666666665,0.20327146006685157,0.11228858570434122,0.14086485324964107,1500
14,3,evaluate,1.9078659154474735,0.26,0.28172143390589993,0.09383751314058256,0.13284014927770357,2000
14,4,evaluate,1.7014670819044113,0.45266666666666666,0.27046935863319066,0.15153485614301287,0.19120972734491865,1500
14,5,evaluate,1.4887456707656384,0.5205,0.2096666552900671,0.17509765854688109,0.17653985476248166,2000
15,0,evaluate,1.800763338804245,0.28,0.20021224104592056,0.08438817242163839,0.11059230791582855,1500
15,1,evaluate,1.8622376422087352,0.344,0.24659340659340662,0.10219675955611138,0.1412603265658057,1500
15,2,evaluate,1.9552388886610668,0.196,0.1958603548291485,0.05791583162479055,0.08516703612895263,1500
15,3,evaluate,1.3377070687711239,0.636,0.2560207839777647,0.20034375870468119,0.22127438037789443,2000
15,4,evaluate,1.2968517243862152,0.656,0.22405165972239144,0.19647161648161246,0.20587145217542782,1500
