round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.2147373490863376,0.14877024595080984,0.10080275798607874,0.1432179187461531,0.06693076303316639,1667
0,1,evaluate,2.2177716890970864,0.14397120575884823,0.1536603698380761,0.13839877466362913,0.0652382608956313,1667
0,2,evaluate,2.2447384816628917,0.13437312537492502,0.1061626654407208,0.13694102310066567,0.06172435097658069,1667
0,3,evaluate,2.238726642396715,0.14097180563887224,0.05517845277930038,0.1484316390730959,0.06801270666973513,1667
0,4,evaluate,2.236433912206579,0.14037192561487702,0.1328579176755448,0.14275393143555837,0.06709843137705739,1667
0,5,evaluate,2.211876798559118,0.14697060587882424,0.0865419144548755,0.14099913504134917,0.06639163069847935,1667
1,0,evaluate,2.0830493414843523,0.23695260947810437,0.25924109892081904,0.2359200275757413,0.1845829920463828,1667
1,1,evaluate,2.0889184651551425,0.2411517696460708,0.25073831765528476,0.2519771808165846,0.19672301311594426,1667
1,2,evaluate,2.081692938451414,0.24235152969406118,0.29908909806403916,0.2393026928577439,0.19564032190635453,1667
1,3,evaluate,2.0783054652037443,0.22735452909418116,0.22084540080508197,0.23801965745148196,0.17795214192213116,1667
1,4,evaluate,2.074713702555056,0.2411517696460708,0.2994498440172354,0.2468324022428013,0.19662891194166018,1667
1,5,evaluate,2.074326850749828,0.23515296940611877,0.21270207032630561,0.23317482012966084,0.1836257666712538,1667
2,0,evaluate,1.9485629620375458,0.3233353329334133,0.40327325593987756,0.33725421679846307,0.2921944969391625,1667
2,1,evaluate,1.9743042566158153,0.3155368926214757,0.28845356776525916,0.3222582891619754,0.28348605029112656,1667
2,2,evaluate,1.9579730033874512,0.34013197360527897,0.32490667058694644,0.33879023480820053,0.30581121721583876,1667
2,3,evaluate,1.9624526589005082,0.34133173365326935,0.3228898384000514,0.33470794526961406,0.3042306196082728,1667
2,4,evaluate,1.9378966048911765,0.35032993401319734,0.3184500856304899,0.34023899302572347,0.30670417890689033,1667
2,5,evaluate,1.9440044208809182,0.34913017396520696,0.3284357587174688,0.3404777801882613,0.30581476589065437,1667
3,0,evaluate,1.8580529469030875,0.33773245350929815,0.36196867036804375,0.34742148943067647,0.31799028734182533,1667
3,1,evaluate,1.8627465742605704,0.3629274145170966,0.3863431121811606,0.3576046290403926,0.3410251546490431,1667
3,2,evaluate,1.8778402187206127,0.36052789442111577,0.3852332406130362,0.3603223798675715,0.33785157211680394,1667
3,3,evaluate,1.8957183846720942,0.3353329334133173,0.34506292162104546,0.34320472159293425,0.31616509157849515,1667
3,4,evaluate,1.8695615750771981,0.3515296940611878,0.36031007690619965,0.3487886035052178,0.3258157153136621,1667
