round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3040502795690223,0.0967,0.01825868783903844,0.09670000000000001,0.023109083402510812,0.0,0.0
1,2.294786918012402,0.1528,0.14934098000649293,0.1528,0.10653200267254088,0.15566886622675466,0.15566886622675466
2,2.1070628045480464,0.2056,0.18997774209022747,0.2056,0.1232407972564488,0.1959608078384323,0.1959608078384323
3,1.8269359326060814,0.3286,0.34093763420627804,0.32860000000000006,0.28994070489865853,0.3197360527894421,0.3197360527894421
