round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3042049981370756,0.1,0.01,0.1,0.01818181818181818,0.0,0.0
1,2.27961380270463,0.1793,0.1575338055713397,0.1793,0.10555221594831148,0.16858333333333334,0.1802
2,2.1885290145874023,0.2337,0.23001695137191397,0.23370000000000002,0.16552135355488096,0.2166388888888889,0.2262
3,2.1122156155260305,0.2538,0.20175514008355133,0.2538,0.1743326236193336,0.24066666666666667,0.2446
4,2.006496423407446,0.292,0.26222326875557084,0.292,0.23871533981123147,0.2896388888888889,0.2861
5,1.9089728639095644,0.3161,0.3409832164669691,0.3161,0.27428302701475205,0.3159444444444444,0.3141
6,1.8855888149406337,0.326,0.3619760632841564,0.326,0.2886936622376447,0.31272222222222223,0.3183
7,1.8398195610770696,0.3399,0.3731010623542942,0.3399,0.3104059027312883,0.32944444444444443,0.3376
8,1.7889919386634343,0.3616,0.3843048095379397,0.3616,0.34337456355283524,0.3566944444444444,0.3605
9,1.7514231823667694,0.3784,0.39475340285997895,0.3784,0.36881443521347007,0.37625,0.3765
10,1.718669200245338,0.3942,0.40384846239295663,0.3942,0.3825171878200812,0.38761111111111113,0.3873
11,1.7029540991481347,0.4038,0.416372776420255,0.40379999999999994,0.3859358357381283,0.3963888888888889,0.3965
12,1.6960905956316599,0.4073,0.4180523841741669,0.40730000000000005,0.38669539234621697,0.40199999999999997,0.403
13,1.682032554964476,0.4111,0.42126853070286724,0.41109999999999997,0.39560656564641106,0.4068333333333333,0.4075
14,1.661197070834003,0.4169,0.4223886236262956,0.41689999999999994,0.40472151860319244,0.4143333333333333,0.4153
15,1.6370498032509526,0.4218,0.42780258836865387,0.4218,0.4138308213805006,0.4198888888888889,0.421
16,1.614639651926258,0.4296,0.43533445285290007,0.4295999999999999,0.4223706023831032,0.4252777777777778,0.4278
17,1.5877061101454724,0.4373,0.44544772543836364,0.4373,0.43172458495450383,0.43133333333333335,0.435
18,1.566018573845489,0.4474,0.4584150618485722,0.4474,0.4438417365180369,0.43283333333333335,0.4373
19,1.5481330427942397,0.4503,0.4609028102003207,0.45030000000000003,0.44933448458284564,0.4410277777777778,0.4448
20,1.5295777396310735,0.4584,0.4672002044782689,0.4584,0.4580715525323716,0.44672222222222224,0.4503
21,1.5187107716934591,0.4637,0.4709584024413801,0.46370000000000006,0.46166393968170566,0.45449999999999996,0.4581
22,1.5271772282033027,0.4641,0.4761666749294576,0.4641,0.45818118274500874,0.45425000000000004,0.4584
23,1.5395640708223175,0.462,0.4778185450843758,0.4619999999999999,0.45384148304042393,0.4529166666666667,0.4567
24,1.5471443254736406,0.4598,0.4784525592015202,0.4598,0.4529180588051679,0.45519444444444446,0.459
25,1.5294694734525076,0.4672,0.4814132887842616,0.46720000000000006,0.46490055813381037,0.4604166666666667,0.4646
26,1.519864918310431,0.476,0.4872764652634741,0.476,0.4762700522817548,0.46375000000000005,0.4679
27,1.5083316126956214,0.4833,0.49014132916988934,0.4833,0.48337166008628374,0.46900000000000003,0.4739
28,1.4908786167072345,0.4895,0.49366931276352793,0.48949999999999994,0.4882774113976316,0.47333333333333333,0.4785
29,1.4822912970675697,0.4876,0.4949118735445352,0.4875999999999999,0.486525150215361,0.4762777777777778,0.4802
30,1.4829301879375796,0.4873,0.5026192721006544,0.4873,0.4873408872562586,0.47625,0.478
31,1.4804403646082818,0.4879,0.5052253723553439,0.48789999999999994,0.48862921415225646,0.4797777777777778,0.4815
32,1.4747968474520912,0.484,0.49814990407788307,0.484,0.4843732008977746,0.4810833333333333,0.4833
33,1.4698281122159353,0.4866,0.49693851387667687,0.48660000000000003,0.4875520502279982,0.4822222222222223,0.486
34,1.467250169078006,0.4899,0.49907891169349183,0.4899,0.4915024884734674,0.48200000000000004,0.4873
35,1.4651625578916525,0.4925,0.5047127758216444,0.4925,0.4952486768434925,0.48786111111111113,0.4929
36,1.454854126217999,0.4992,0.507733158916904,0.4992,0.5004835885995059,0.4916388888888889,0.4974
37,1.4505792735498162,0.5035,0.509135298018659,0.5035000000000001,0.5026706964878899,0.4966944444444444,0.5019
38,1.4496017588844783,0.5013,0.5063068146546932,0.5013000000000001,0.49945332672677845,0.49638888888888894,0.5012
39,1.454549110388454,0.5044,0.5103730997641851,0.5044000000000001,0.5020535220029874,0.49491666666666667,0.4997
40,1.465812411489366,0.5005,0.5104608726825159,0.5005,0.49999175568716475,0.4903611111111111,0.4955
41,1.4752206289315526,0.498,0.5092269472430011,0.49800000000000005,0.49810069827184894,0.49041666666666667,0.4958
42,1.492864663087869,0.5011,0.5177949452636564,0.5011,0.5036453001808787,0.48900000000000005,0.4938
