round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3066636157941214,0.1043,0.024558963736790562,0.10429999999999999,0.029734487399559233,0.0,0.0
1,2.294755999046036,0.1438,0.10619365009715584,0.1438,0.06215215105762473,0.1411813448296795,0.14077184563087383
2,2.1327813531779034,0.2119,0.23981723071793404,0.21189999999999998,0.1329138090124392,0.22886017276204,0.20735852829434112
3,1.9905553241319294,0.2855,0.31451859847670705,0.28550000000000003,0.22623760741706417,0.28907821186014965,0.27814437112577484
4,1.859386133242257,0.3368,0.33362336262214143,0.33680000000000004,0.2968644104679529,0.32036975066655454,0.3222355528894221
5,1.7566687577887425,0.3723,0.3783239802962467,0.37229999999999996,0.35027570192034735,0.3553375008237983,0.36372725454909016
6,1.7192473487008977,0.391,0.39747561899502526,0.391,0.37404423111076157,0.3727569769944233,0.3802239552089582
7,1.697730995431731,0.4016,0.40996194363320954,0.4016,0.38784287182113164,0.39008805280240794,0.3945210957808438
8,1.660173069072675,0.4103,0.41298149360657577,0.41030000000000005,0.3991129645661776,0.4070655139587489,0.41061787642471503
9,1.6173162460327148,0.4276,0.43103026754308515,0.4276,0.42093449083570533,0.425279388675538,0.4282143571285743
10,1.5925149163113366,0.4382,0.44407903919747194,0.43820000000000003,0.4327729707134589,0.43385985143191247,0.4355128974205159
11,1.5769576498224764,0.4364,0.442559161233147,0.4364,0.43090001249375814,0.43597852519709623,0.4387122575484903
12,1.5629268371606175,0.4376,0.44130980419441207,0.43760000000000004,0.4322870678611735,0.443160203758788,0.4455108978204359
13,1.5486750844158703,0.4482,0.4503581148064564,0.44820000000000004,0.44264288144219277,0.45030710216962094,0.4517096580683863
14,1.5310542387298391,0.4562,0.45907827855425254,0.45620000000000005,0.45168842136446424,0.45717831246878066,0.45820835832833434
15,1.5161563218394412,0.4613,0.4654882888106249,0.46130000000000004,0.4574667214566455,0.46322479468018724,0.46300739852029593
16,1.500396330145341,0.4677,0.47337047992187065,0.46769999999999995,0.4628267789076214,0.46910927710920697,0.47060587882423516
17,1.4838816033133977,0.4755,0.47972436491916304,0.4755000000000001,0.46844685839009587,0.47354200109737965,0.4772045590881824
18,1.4663500001158896,0.4819,0.48367626117106194,0.4819,0.47339418626687435,0.48202589060214485,0.4876024795040992
19,1.4525631771811955,0.492,0.4900338573329737,0.492,0.48348230527614816,0.4869512133193221,0.4913017396520696
20,1.4448402606988255,0.4947,0.4935692773838582,0.49470000000000003,0.48902608768824496,0.49547078637226805,0.496000799840032
21,1.4413929196852673,0.4984,0.5039258891538391,0.49840000000000007,0.494932785848803,0.4978154375646164,0.4947010597880424
22,1.438443266892735,0.494,0.5041026915659349,0.49400000000000005,0.49041891599430043,0.4974888614006592,0.4933013397320536
23,1.43014443675174,0.494,0.5066758370038318,0.49400000000000005,0.49117774235298856,0.49805538463112997,0.4952009598080384
24,1.417988896369934,0.4957,0.505334447642649,0.4957,0.49265524862925714,0.4945431423782367,0.4949010197960408
25,1.4075028594536116,0.4993,0.5050962062550515,0.49929999999999997,0.4962454155038095,0.49588682552297697,0.498500299940012
26,1.3980870578862443,0.5046,0.5110347946588869,0.5046,0.5033470862220842,0.5027678525202041,0.5048990201959608
27,1.3897640871096262,0.5101,0.5191503258284829,0.5101,0.5106192232220487,0.5122590625282987,0.5126974605078984
28,1.385129780708989,0.5175,0.5240661755372679,0.5175000000000001,0.5173250559072062,0.512642659919202,0.5132973405318936
29,1.3801546383507644,0.5188,0.5207824841673558,0.5187999999999999,0.5165828077332809,0.5153193411184163,0.5172965406918616
30,1.3778567163250115,0.5196,0.5204247667374187,0.5196000000000001,0.5162058810564445,0.5161174082370968,0.5178964207158568
31,1.3730493995207775,0.5196,0.520381781921367,0.5196,0.5166655587459947,0.5205985142726337,0.5216956608678265
32,1.3618286319925814,0.5246,0.5248468544294644,0.5246,0.5225918259945119,0.521281165223443,0.522995400919816
33,1.3565910239762897,0.5286,0.5323280981232982,0.5286000000000001,0.5277509558815083,0.5254032381032749,0.5255948810237953
34,1.3544269090966334,0.5292,0.5365225355187581,0.5292000000000001,0.5298420139635905,0.528319268371236,0.5280943811237753
35,1.3521673498274405,0.5341,0.5384672830356674,0.5340999999999999,0.5343712043748315,0.5257718996986079,0.5268946210757849
36,1.3548322433157811,0.5314,0.5341021045947525,0.5314,0.5306056635230182,0.5266136493166595,0.5282943411317736
37,1.3659815546832508,0.5302,0.5329467319653202,0.5302,0.5286154339619348,0.5241566078595716,0.526494701059788
38,1.380727318268788,0.5284,0.5330413499551332,0.5284000000000001,0.5269857278498236,0.5219457232205258,0.521995600879824
39,1.3954651642449294,0.526,0.5321005014192018,0.526,0.5245311544131303,0.5223036847186617,0.5208958208358329
40,1.4063235068623023,0.5227,0.5305833083298453,0.5227,0.5215836727337612,0.5233850339453872,0.5207958408318336
41,1.4088601643526102,0.5222,0.5292389912622719,0.5222,0.5219632636414666,0.5258690482472693,0.5240951809638073
42,1.4095370603513113,0.523,0.5275306173201461,0.523,0.5229980301996806,0.5281885556002696,0.5281943611277744
43,1.4068549780906001,0.5281,0.5298474473708257,0.5281,0.5277994799964559,0.5279749442865515,0.5300939812037593
44,1.4092288545415372,0.5294,0.5288098394613782,0.5294,0.5281975058012334,0.5252593610452058,0.5283943211357729
45,1.411806553224974,0.5314,0.5311315440466969,0.5313999999999999,0.5301014710821781,0.5274419146006909,0.5290941811637673
46,1.4232162010820606,0.5299,0.5315320832785426,0.5298999999999999,0.5286282511714949,0.5189577263448777,0.5188962207558488
47,1.4416086371940902,0.5248,0.5278279612059232,0.5248,0.5219300987065164,0.5227880645474059,0.5210957808438312
48,1.4526479455489147,0.5233,0.5252236670546029,0.5233000000000001,0.5190109659333528,0.5198801012240662,0.5183963207358528
49,1.4525559899173206,0.5249,0.5249420897988044,0.5249,0.5208770384104604,0.5250554461736765,0.5246950609878024
50,1.4585947371736359,0.5286,0.5258572602222013,0.5286,0.5248500807714616,0.5265817067544512,0.5277944411117776
51,1.473182616354544,0.5274,0.5256822085724553,0.5273999999999999,0.5244307892609525,0.525499360096484,0.5268946210757849
52,1.4873621841020221,0.5251,0.5270395819134878,0.5250999999999999,0.5237103003617739,0.523023700266114,0.5231953609278145
53,1.5050444286080855,0.5224,0.5274579075386077,0.5224,0.5215565019657303,0.5219882223898845,0.520995800839832
54,1.5247073460228835,0.5207,0.5286702441645129,0.5207,0.520687559254532,0.5193219305828504,0.51749650069986
55,1.5408256235001963,0.5185,0.5267551947786121,0.5185,0.5192056904464655,0.5167379348629938,0.5148970205958808
56,1.5531482108031647,0.5206,0.5227454151556634,0.5206000000000001,0.5194733470730155,0.5156262497272258,0.51749650069986
57,1.576543217972864,0.524,0.5216758831874408,0.5239999999999999,0.5203083976304604,0.5145933546577939,0.5177964407118576
58,1.6012606439711172,0.5239,0.518103860126329,0.5239,0.5173655103293959,0.514328368759716,0.5187962407518496
59,1.6099384449705292,0.5232,0.5153969092081044,0.5232,0.5154534450422632,0.5170108455133235,0.5220955808838232
60,1.6070807025402407,0.5225,0.5170790968947928,0.5225,0.5166214697482929,0.5168674211276297,0.5196960607878425
61,1.618015550359895,0.5189,0.5190003612770109,0.5189,0.5158311900533677,0.5137898346510276,0.5140971805638872
62,1.6457220693177814,0.5179,0.5263959745548765,0.5179,0.5179158396516935,0.5107962804129639,0.508498300339932
63,1.6731414146061185,0.516,0.529814413645002,0.5159999999999999,0.5185644734555663,0.5113709719820353,0.509498100379924
64,1.6787692066989368,0.5196,0.5295335377914974,0.5196,0.5217618670144955,0.5105458669182515,0.5097980403919217
65,1.6781048835078372,0.5216,0.526158614418044,0.5216000000000001,0.5221673523236368,0.5110979783496029,0.5117976404719056
66,1.6920822089231466,0.5225,0.5223897670940557,0.5225,0.5204354795747049,0.512057828327173,0.5132973405318936
67,1.699707619751556,0.525,0.5231583735587726,0.525,0.5219543412867054,0.5154085955148123,0.5168966206758648
68,1.7100696186476116,0.5255,0.5241157374148699,0.5255000000000001,0.5224298625266472,0.5160486384426406,0.5170965806838632
69,1.7238411737393728,0.5209,0.5215218215623577,0.5208999999999999,0.5184600668313865,0.5127330761338594,0.5134973005398921
70,1.7460769218734549,0.5193,0.5219256377311288,0.5193,0.518042487410073,0.5101260402003064,0.5105978804239152
71,1.7666847449314744,0.5176,0.5208176650422642,0.5175999999999998,0.5170571309241885,0.5102008813836076,0.5110977804439112
72,1.7920280453525013,0.5178,0.5193067242106391,0.5178,0.5168704216230073,0.5111503042704816,0.5121975604879024
73,1.817190538478803,0.5212,0.519479096775145,0.5212,0.5190380953151448,0.5138584555519363,0.5158968206358728
74,1.857368627681008,0.5173,0.5142464542868934,0.5172999999999999,0.5144680711687617,0.5128091641084951,0.5154969006198761
75,1.895941523056996,0.5176,0.5149052054230874,0.5176,0.515053849542692,0.5099996214196757,0.5118976204759048
76,1.9289116648179065,0.5119,0.5118211919655811,0.5119,0.5107600291365804,0.5094174749467278,0.510497900419916
77,1.9483795995953717,0.5098,0.514777201713706,0.5098,0.51056673241523,0.507316321666169,0.5076984603079384
78,1.9632843431038192,0.5097,0.5193882644890532,0.5096999999999999,0.5116522552594934,0.5060498508408211,0.505498900219956
79,1.9721847516071946,0.5105,0.5210261977523991,0.5105,0.5123615095391733,0.5039244447233742,0.5032993401319736
80,1.9675618877893761,0.505,0.5162772726183322,0.5050000000000001,0.5068728656716139,0.5023160102678589,0.5016996600679864
81,1.9549982064886937,0.5053,0.514649471303985,0.5053,0.5064651715984837,0.5021073714995054,0.500999800039992
82,1.9313882061197787,0.511,0.5172824311545834,0.5109999999999999,0.511736144378982,0.5023671240338276,0.5023995200959808
83,1.92348376406899,0.5169,0.5202737975370665,0.5169,0.5168034241613665,0.5033748163529573,0.5033993201359728
84,1.932373362251475,0.5168,0.5181962812935352,0.5168,0.5165034534817575,0.5072666061880217,0.5071985602879424
85,1.9687866206410565,0.5187,0.5176762107924087,0.5187,0.5174796849630215,0.50899889815651,0.5091981603679264
86,2.0146775283390963,0.5192,0.5177259279445654,0.5192,0.5176776807491628,0.5082003051499918,0.5095980803839232
87,2.068695643280126,0.515,0.5152911606570421,0.515,0.5134005669051162,0.5063331668828677,0.50749850029994
88,2.116294436816928,0.5122,0.513169858603926,0.5121999999999999,0.5103858851100757,0.5048083287046045,0.505498900219956
89,2.150903157041043,0.5079,0.5111267297228568,0.5079,0.5071880812673772,0.5014087835573698,0.5021995600879824
90,2.1603587548944017,0.5056,0.5114414717240943,0.5055999999999999,0.5061467232416991,0.5010165945047123,0.5012997400519896
91,2.154905178878881,0.5064,0.5133710825601427,0.5064,0.5069714439731671,0.49899948587581305,0.499000199960008
92,2.1394400143925147,0.5059,0.5111200082023484,0.5059,0.5056560132250141,0.49849235525165003,0.4979004199160168
93,2.129314046871813,0.5071,0.5080180473355034,0.5071,0.5055524901737047,0.5026838228663457,0.5025994801039793
94,2.1306215192698224,0.5091,0.507603751903981,0.5090999999999999,0.5071093791062147,0.5022183756462741,0.5036992601479704
95,2.148770195019396,0.5106,0.5089364580123398,0.5105999999999999,0.5086604640469845,0.4988865775768594,0.5007998400319936
96,2.1789744896224783,0.5091,0.5083227225255742,0.5090999999999999,0.5071801330529666,0.49672109636573264,0.4993001399720056
97,2.205623435068734,0.5117,0.5119899356718342,0.5117,0.5100071884536976,0.49849513636120973,0.5006998600279944
98,2.2433363259593144,0.5075,0.5097309436884904,0.5075000000000001,0.5067390392610764,0.4981512401409174,0.498500299940012
99,2.2856196889394447,0.5038,0.5106649397922985,0.5038,0.504254079110726,0.4949836390269198,0.49300139972005597
100,2.3099264344082604,0.5013,0.5123027562203493,0.5013,0.5024604844697055,0.49091655433562315,0.48730253949210156
101,2.3107110654251484,0.4981,0.5099625773585184,0.4981000000000001,0.49940960935959244,0.4854680933070026,0.48120375924815034
102,2.2906733524950247,0.5007,0.5100104322988711,0.5007,0.5017618657195302,0.4868528389232117,0.48360327934413117
103,2.27367610267446,0.5041,0.5095384606137143,0.5041,0.5046262966884072,0.4897120959103441,0.4882023595280944
104,2.283259231832963,0.5064,0.5075607104371803,0.5064,0.5056643945930781,0.49180506798002877,0.49300139972005597
105,2.329561440250542,0.5127,0.5115285160504318,0.5126999999999999,0.510546907972004,0.49483828569018756,0.4971005798840232
106,2.3758731175072585,0.5117,0.5105626519465101,0.5117,0.5094673878175273,0.4961393495786599,0.4986002799440112
107,2.4087431445906433,0.5094,0.5110426897108018,0.5094000000000001,0.5083061556551465,0.497511621950218,0.49870025994801037
108,2.4275101785418354,0.5066,0.5102646580269943,0.5065999999999999,0.5059845261426681,0.4973857798623551,0.49750049990002
109,2.429115247122849,0.5033,0.5089460707181818,0.5033000000000001,0.503061874614813,0.49553415244458265,0.4943011397720456
110,2.405093633675877,0.5022,0.5078360783677591,0.5022,0.5019205899365604,0.49241071966873856,0.4907018596280744
111,2.3780512719214717,0.502,0.507012382324685,0.502,0.501917869901267,0.4933010238923694,0.4918016396720656
112,2.351799824569799,0.5025,0.5053868745290692,0.5025,0.5023328709121243,0.49308661345017174,0.49300139972005597
113,2.3496883775614483,0.5057,0.5078048449841983,0.5057,0.5058160496701254,0.49707293778649125,0.4983003399320136
114,2.3661054689672927,0.5078,0.5089248708113783,0.5078,0.5075252328477593,0.49695636004362914,0.4991001799640072
115,2.406557069549078,0.5074,0.5098770244153739,0.5074,0.5074752377236337,0.4970477359818825,0.4994001199760048
116,2.4468636754192885,0.5084,0.5117794571127404,0.5084000000000001,0.5087878962102692,0.4979879193499983,0.499500099980004
117,2.479903000819532,0.5056,0.509350589420978,0.5056,0.5061224441731551,0.49752727118964213,0.4977004599080184
118,2.5118770901160903,0.5045,0.5095496762302392,0.5045,0.5054328705821826,0.49430233532486056,0.4937012597480504
119,2.5338231958920443,0.503,0.5087422002190051,0.5029999999999999,0.503652752770234,0.4962011572180592,0.4947010597880424
120,2.5534849876089942,0.5013,0.5088712503423314,0.5013,0.5018895263761287,0.49464095332255087,0.4926014797040592
121,2.559975945496861,0.5021,0.5076179569253858,0.5021,0.5015841600630886,0.4922183026180404,0.49190161967606477
122,2.5611896665790415,0.4977,0.5029915179364741,0.4976999999999999,0.49757542730244586,0.4914871591089988,0.49140171965606877
123,2.561032028137883,0.4943,0.49931952474219854,0.4943000000000001,0.4946452312187958,0.4891803872330158,0.489002199560088
124,2.5578126997887334,0.4931,0.4971681543079508,0.4931,0.49337788802453186,0.4854059234461033,0.48460307938412317
125,2.5632283883758737,0.4962,0.49949021590688736,0.4962,0.49636877068852303,0.48478999568577286,0.48480303939212155
126,2.5809059701388395,0.4951,0.4979540528803838,0.49510000000000004,0.49467912169560846,0.4877582490666579,0.4892021595680864
127,2.597481824174712,0.4949,0.49637486562262956,0.4949,0.49359512620186974,0.4875674421903693,0.48990201959608076
128,2.599641250658639,0.4972,0.495492944309804,0.4972,0.4944969617492875,0.4919734068775816,0.4942011597680464
129,2.602500592605977,0.4966,0.49372291012598934,0.49660000000000004,0.4935423151827697,0.49254787437195496,0.4941011797640472
130,2.605571075330807,0.4959,0.49298526846798296,0.49590000000000006,0.49261557673566914,0.491505851690349,0.4926014797040592
131,2.599030398115327,0.4962,0.4959016584336126,0.4962000000000001,0.49407158461789125,0.49538620506776593,0.4949010197960408
132,2.60845638377757,0.4996,0.5030553777983859,0.49959999999999993,0.49876555186317695,0.4940009354459764,0.4921015796840632
133,2.6231327962271775,0.5003,0.5075938154976676,0.5003,0.501116081646606,0.49419146791091834,0.4912017596480704
134,2.6428761693495737,0.5022,0.5110604648180187,0.5022,0.5036951938224068,0.4952824066989216,0.4918016396720656
135,2.665918416614774,0.5013,0.5114283250671582,0.5013,0.503328927487384,0.49762486810358114,0.4948010397920416
136,2.682344985913627,0.5041,0.5134147107827678,0.5041,0.5063723192968819,0.49698420048774566,0.49500099980004
137,2.685733497897281,0.5059,0.5131462983159515,0.5059,0.5077600091192879,0.49266260356120156,0.4926014797040592
138,2.696106977855103,0.5044,0.5089821616873338,0.5044000000000001,0.5051200970207848,0.4869162353248533,0.48880223955208957
