round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.304205444794667,0.1034,0.018509723612835906,0.1034,0.02970283930384025,0.0,0.0
1,2.3126282933392104,0.105,0.1000320271961405,0.10499999999999998,0.029524716685880976,0.10938969148436783,0.10756772968109567
2,2.1432338349426847,0.2214,0.27728389821578714,0.22139999999999999,0.17201485478280693,0.2224372965240691,0.2222333300009997
3,2.1357540405249296,0.2529,0.30137266672079244,0.2529,0.21545296950854173,0.24817271862249768,0.2474257722683195
