round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.3779694780390312,0.21766666666666667,0.1900438946528332,0.08057785911858709,0.07218020136835498,3000
0,1,evaluate,2.1953525441758175,0.19766666666666666,0.1329638238274033,0.08470057113856355,0.10342639614194608,3000
0,2,evaluate,2.3711438534107616,0.11133333333333334,0.2180698366303043,0.046773068234942435,0.06697824885825857,3000
0,3,evaluate,2.221911410067944,0.11,0.18729897230720954,0.04698181313341663,0.0621716256136004,3000
0,4,evaluate,2.1075790182073066,0.25433333333333336,0.19700493668066313,0.10550346264631978,0.10085789886616969,3000
0,5,evaluate,2.122365560937435,0.216,0.21094117729533332,0.10646527777777777,0.13858407855636004,3000
1,0,evaluate,2.246681406142864,0.3556666666666667,0.13625131968585039,0.1171742050809227,0.1259938410135909,3000
1,1,evaluate,1.909086156398692,0.43866666666666665,0.2858260550472489,0.16361341822246636,0.1993452484265276,3000
1,2,evaluate,2.1695746563850564,0.08133333333333333,0.2031723484848485,0.03137940705128205,0.04437264359870725,3000
1,3,evaluate,1.9729915679769312,0.455,0.2501996165230099,0.16859261651548954,0.17490387215919534,3000
1,4,evaluate,2.1676584507556673,0.10666666666666667,0.23240831741144452,0.04005431652832943,0.05442147764860947,3000
1,5,evaluate,2.1925102193304835,0.37166666666666665,0.18312252042354876,0.12072450080549119,0.1245338273235269,3000
2,0,evaluate,1.6798256128392322,0.5453333333333333,0.2925339970647682,0.2041495414272611,0.23685345737235897,3000
2,1,evaluate,1.9050364824051553,0.297,0.20486582100216677,0.11114503205128204,0.12963103961095163,3000
2,2,evaluate,2.2040016093152635,0.20166666666666666,0.19974337526956976,0.06551823184823419,0.09134730607105948,3000
2,3,evaluate,2.0199959607834512,0.2653333333333333,0.27649815245247034,0.0985818236887222,0.13442961673393225,3000
2,4,evaluate,2.0124510552020785,0.24866666666666667,0.23469070119196891,0.09348678363025117,0.12674579299477984,3000
2,5,evaluate,2.03587502367953,0.42766666666666664,0.14127111624834157,0.14091931404394142,0.1410850811988892,3000
3,0,evaluate,1.661424735759167,0.5066666666666667,0.2649254774591863,0.18891432382133372,0.21584512774797998,3000
3,1,evaluate,1.9080891938919717,0.23366666666666666,0.2431762086161744,0.08777672783767446,0.11739549028301532,3000
3,2,evaluate,1.663208192967354,0.5193333333333333,0.3031424924166176,0.19434863734026914,0.23176380497040366,3000
3,3,evaluate,1.9430866621910257,0.20733333333333334,0.21682338536435364,0.07831169871794871,0.10308881710760115,3000
3,4,evaluate,1.9614138628574127,0.42333333333333334,0.15079350638848454,0.13949112581544432,0.144899955176972,3000
3,5,evaluate,1.9395079536640898,0.4,0.19191633059793206,0.1301513143910321,0.15221713908302875,3000
4,0,evaluate,1.6099797487258911,0.5316666666666666,0.270487233693363,0.17769430618105655,0.21334928190623278,3000
4,1,evaluate,1.897895947415778,0.42133333333333334,0.21896010234637792,0.12498554904085893,0.13278539488218144,3000
4,2,evaluate,1.6957892001943384,0.3923333333333333,0.22186675531307815,0.1464723557692308,0.16921658294592523,3000
4,3,evaluate,1.7684604791884726,0.36933333333333335,0.28746840173561117,0.13814007555354052,0.1849899286695535,3000
4,4,evaluate,1.9937316509003336,0.2776666666666667,0.26973999578413743,0.0814204187784426,0.11232375381182373,3000
4,5,evaluate,1.7381004475532693,0.36866666666666664,0.2396170862179094,0.13847296614667973,0.17221629400682115,3000
5,0,evaluate,1.7267020687143853,0.335,0.22500561664734076,0.11173375252520763,0.144773783963774,3000
5,1,evaluate,1.7318691065970888,0.33,0.204056333967595,0.11069408831908831,0.13581074760817383,3000
5,2,evaluate,1.7998392302939232,0.46366666666666667,0.23614762243354176,0.137591505209179,0.14411733981322356,3000
5,3,evaluate,1.4835043257855354,0.5916666666666667,0.2450841571690828,0.17720959901922245,0.20390256187347727,3000
5,4,evaluate,1.587671936826503,0.492,0.2589570054368502,0.16359380016371547,0.1992287669198135,3000
5,5,evaluate,1.8363507859250332,0.357,0.2719125769941938,0.10480791378849967,0.13565330155030766,3000
6,0,evaluate,1.7392708519671827,0.4013333333333333,0.27255128677526175,0.11782805962880046,0.14636441310544354,3000
6,1,evaluate,1.4620877301439326,0.5266666666666666,0.23424071048805337,0.1574851766335488,0.1872091799270756,3000
6,2,evaluate,1.6184682795341978,0.3913333333333333,0.20209723357981274,0.11748602656472917,0.14757696921568356,3000
6,3,evaluate,1.6613646542772333,0.48833333333333334,0.23669786976141483,0.14498411646497775,0.1506806001927086,3000
