round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.3231517927987233,0.0,0.0,0.0,0.0,4000
0,1,evaluate,2.271679548990159,0.19975,0.039201256010205084,0.13871527777777778,0.06112768724657639,4000
0,2,evaluate,2.3037117927793473,0.2045,0.05557820356026635,0.13812901046943601,0.07926356589147286,4000
0,3,evaluate,2.2289994368477473,0.1965,0.2455118348961604,0.15666084710014028,0.14380694283133308,4000
0,4,evaluate,2.2289994368477473,0.1965,0.2455118348961604,0.15666084710014028,0.14380694283133308,4000
0,5,evaluate,2.2721756980532692,0.19,0.16664934917726182,0.1604607874199573,0.1104644194977669,4000
1,0,evaluate,2.16266976084028,0.297,0.22433279699410327,0.1520116108898016,0.12021108111227197,4000
1,1,evaluate,1.9964771857337347,0.50575,0.3493768989350988,0.28926472669165487,0.31366314708878956,4000
1,2,evaluate,2.30259516882518,0.125,0.3175381263616558,0.06331633059947206,0.0660892971258517,4000
1,3,evaluate,1.9964771857337347,0.50575,0.3493768989350988,0.28926472669165487,0.31366314708878956,4000
1,4,evaluate,2.214090351074461,0.2235,0.0890278525899991,0.10931331493244534,0.09690928960365958,4000
1,5,evaluate,2.2681675222184925,0.11125,0.1819701646090535,0.05793254191691692,0.057823517062647496,4000
2,0,evaluate,1.669735861203027,0.586,0.35835721041393664,0.33547493649372423,0.3397248153458935,4000
2,1,evaluate,1.9573895836633348,0.31425,0.19575878771904381,0.15859946550896328,0.13083871195649696,4000
2,2,evaluate,2.2664156149304104,0.03775,0.19347705914870092,0.017462596394048006,0.028953079883942683,4000
2,3,evaluate,2.046410488703894,0.29,0.0773896007802778,0.12610289936040336,0.09471666235009016,4000
2,4,evaluate,1.669735861203027,0.586,0.35835721041393664,0.33547493649372423,0.3397248153458935,4000
2,5,evaluate,2.256768620203412,0.05125,0.3143285821455364,0.026032117304009922,0.04312585036372127,4000
